Restaurant,MustTry,Location,Cuisine,CostForTwo,GoogleRating(outof5),ZomatoRating(outof5)
Jaipur Adda,"Naan Pizza, Karari Roti, Mojito, Corn Bhel","8/9, Station Road, Kanti Nagar, Sindhi Camp",Modern Indian,INR 1800,4.25,4.2
The Rajput Room,Laal Maas,"Rambagh Palace, Bhawani Singh Road, Rambagh","North Indian, Continental, Asian",INR 4000,5,5
Zolocrust,"Mezze Platter, Tiramisu, Spaghetti, Apple Pie","Hotel Clarks Amer, Jawahar Lal Nehru Marg","Italian, Bakery, Continental",INR 2000,4.6,4.8
RJ 14,"Chana Masala, Dal Bukhara, Tmota Shorba, Panipuri","Plot No 132, 133, 151, Ajmer Road, DCM","North Indian, South Indian",INR 900,4.1,4
Taruveda,"Waffles, Pepperoni Pizza, Ceasar Salad, Sushi","1st Floor, Sunraj Villa, 2 Mysore House, Jacob Road, Madrapura, Civil Lines","Italian, Japanese, Continental",INR 1000,4.3,4.1
Chao Chinese Bistro,"Jumbo Prawns, Fish Grills, Noodles, Dumplings","Holiday Inn, Sardar Patel Marg, Bais Godam","Chinese, Asaian",INR 2500,5,4.3
Tapri Central,"Sauteed Mushrooms, Tadka Maggi, Falafel, Nachos","B4-e, Prithviraj Road, Opposite Central Park Gate No. 4, C-Scheme","Café, Fast Food",INR 750,4.5,4.7
Handi,"Lal Maans, Jaisalmeri Laal Maas, Afghan Chicken","Maya Mansion, Opposite GPO, MI Road","North Indian, Mughlai, Kebab",INR 1000,4,3.7
Dragon House,"Manchow Soup, Noodles, Manchurian, Dimsums","MI Road, Khasa Kothi Circle","Chinese, Thai",INR 1800,3.6,4.3
Samode Haveli,"Dal Makhni, Laal Maans, Butter Chicken","Near Jorawar Singh Gate, Gangapole","Mughlai, North Indian, Continental, Rajasthani",INR 3500,4.7,3.8
The Foressta,"Butter Chicken, Risotto, Laal Maans, Spring Rolls","Ground Floor, Devraj Niwas, Near Moti Mahal Cinema, Bani Park","Continental, Mexican, Desserts, North Indian, Chinese, Rajasthani",INR 1800,4.1,4
1135 AD,"Chicken Tikka, Paneer Lababdar, Paan Ice Cream, Laal Maans","Amer Road, Amer Kila","North Indian, Pajasthani",INR 1000,3.8,4
Cinnamon,"Daal Makhani, Dal Bukhara, Vegetable Biryani","Jacob Road, Civil Lines, Ganpati Nagar",North Indian,INR 3600,4.6,3.9
Bar Palladio,"Tiramisu, Spaghetti, Mashed Potato, Fries","Kanota Bagh, Bhag Singh Road, Adarsh Nagar","Italian, Finger Food",INR 1800,4.2,3.6
Steam,"Thin Crust Pizza, Sangria, Falafel Wrap, Pizza Calzone","Rambagh Palace, Bhawani Singh Road, Rambagh","Italian, Lebanese",INR 2800,4.7,4.2
Om Resolving restaurant,Rajasthani Thali,"Hotel OM Tower, MI Road, Church Road","North Indian, Continental, Chinese, Rajasthani",INR 1800,3.6,2.6
Colorbar,"Mocktails, Paneer Tikka","Radisson Blu Jaipur, Tonk Road",Finger Food,INR 3000,4.7,4
Kaleidoscope,"Beetroot tikki, Pesto Chicken, Chur Chur Paratha, Peri Peri Chicken","A-2/2, Tilak Marg, C Scheme, Ashok Nagar","Continental, Italian, Mexican, North Indian",INR 1000,4.2,4.1
Laxmi Mishthan Bhandar,"Rajasthani Thali, Mawa Kachori, Onion Kachori, Dahi Vada","Shop No. 98-99, Johri Bazar","Dessert, North Indian, South Indian, Rajasthani",INR 1000,3.8,2.3
Blackout,"Nachos, Club Sandwich, Chicken Pizza, Mocktails","D38A, 8th and 9th Floor, Golden Oak Hotel, Landmark Building, Ahinsa Cricle, C Scheme","North Indian, Italian, Continental, Finger Food",INR 1650,4,3.9
Café Lazy Mojo,"Mocktails, Bruschetta, Nachos, Pene Alfredo","H1-H2, SL Marg, Opp. Genpact, Lal Bahadur Nagar, Malviya Nagar","Mexican, Italian, Continental",INR 800,4.4,4.2
OTB On The Bar BQ,"Butter Chicken, BBQ, Nachos, Brownie","Rooftop, Crystal Court Mall, Malviya Nagar","North Indian, Chinese, Continental, Mexican, Italian, Lebanese",INR 1200,4.2,4.1
Poppin Organic Café,"Breakfast Platter, Green Salad, Lasagna, Chicken Burger","E-145, First Floor, Ramesh Marg, C Scheme","Italian, Chinese, Café",INR 800,4.4,4.2
25 Degree East,"Shahi Tukda, Chicken Malai Tikka Butter Chicken, Chicken Korma","f-11 A, Chaitanya Marg, C Scheme","North Indian, Mughlai",INR 600,4.3,4.5
Mamu's Infusion,"Ravioli, Pasta Arrabiata, Mocktail, Falafel","101, 1st Floor, Mangalam Ambition Tower, Subash Marg, C Scheme","Italian, Chinese, Thai, Mexican, North Indian",INR 1400,4.1,4
